species,age,count
panther,30,4
cougar,27,4
pandabear,23,6
rat,23,5
grey-fox,28,2
sea-otter,28,1
red-panda,28,2
pandabear,28,2
coyote,22,13
griffin,25,6
bat,24,5
husky,18,39
red-panda,18,8
domestic-cat,29,9
wolf,43,4
arctic-fox,43,2
lion,43,2
skunk,43,2
rabbit,43,1
german-shep,31,3
arctic-fox,35,2
other-fox,30,5
rat,36,1
cougar,32,2
tiger,46,2
other-mustelid,23,7
weasel,34,3
skunk,24,8
lemur,26,4
dinosaur,29,1
cougar,28,5
griffin,26,8
husky,32,3
other-ungulate,19,8
cougar,34,2
raccoon,22,6
raptor,24,9
wolf,,67
kangaroo,21,6
othermarsupial,22,3
othermarsupial,19,7
othercanine,32,1
othercanine,25,9
other-reptile,21,11
other-feline,17,32
bat,17,21
griffin,17,11
red-fox,29,8
arctic-fox,22,18
grey-fox,21,14
rabbit,22,23
raptor,18,16
other-ungulate,43,1
grey-fox,25,9
leopard,25,8
cheetah,25,8
rabbit,21,32
other-bird,20,13
rabbit,20,24
rabbit,30,6
tiger,38,5
othercanine,20,23
raccoon,20,17
other-fox,28,7
skunk,30,3
domestic-cat,55,1
rabbit,55,1
lion,38,2
leopard,38,2
german-shep,27,2
red-fox,33,3
sea-otter,33,1
other-reptile,20,12
raven,20,14
badger,28,3
leopard,36,3
horse,36,4
lizard,25,6
grizzly-bear,17,8
other-feline,24,19
other-dog,,4
red-panda,,7
other-mustelid,19,6
skunk,23,3
leopard,17,18
lion,32,3
panther,24,6
dinosaur,25,3
rat,31,1
squirrel,31,1
rabbit,31,4
river-otter,21,12
domestic-cat,52,4
other,52,3
other-bird,52,1
cougar,24,6
cheetah,19,25
horse,30,7
other-feline,29,7
grey-fox,17,26
polar-bear,34,1
raptor,21,8
griffin,21,11
husky,31,2
other-reptile,28,2
leopard,32,4
horse,32,4
domestic-cat,37,2
polar-bear,32,1
german-shep,25,8
raccoon,18,24
kitsune,24,19
dinosaur,19,13
other-reptile,19,11
dragon,57,2
kangaroo,20,9
griffin,28,3
rat,25,11
other-bear,40,1
domestic-cat,49,3
other-feline,49,1
skunk,49,2
river-otter,49,1
sea-otter,49,1
horse,49,2
deer,49,1
pandabear,49,1
raven,49,1
raptor,49,1
other-bird,49,1
kangaroo,49,2
griffin,49,1
kitsune,21,18
hyena,22,19
dinosaur,31,4
raptor,31,3
griffin,31,5
horse,21,9
horse,46,1
other-ungulate,46,3
griffin,34,1
horse,31,3
other-bird,28,5
dragon,42,4
skunk,21,6
other-mustelid,21,7
wolf,53,2
hyena,23,6
other-musteloid,20,4
rat,21,7
arctic-fox,31,2
horse,39,4
coyote,21,8
kitsune,,13
lion,,6
cougar,,5
domestic-cat,,22
lizard,,5
horse,,9
deer,,5
other-ungulate,,3
grizzly-bear,,2
squirrel,,7
bat,,3
griffin,,7
leopard,33,2
river-otter,17,21
rat,26,6
leopard,29,4
brown-bear,31,2
pandabear,31,1
dragon,32,8
lemur,21,3
german-shep,24,4
grizzly-bear,22,7
pandabear,19,10
wolf,40,4
other-ungulate,30,1
horse,20,19
horse,41,2
rabbit,38,2
weasel,37,1
kitsune,40,1
cheetah,40,2
pandabear,32,1
brown-bear,38,1
grizzly-bear,38,2
collie,20,6
red-panda,16,10
bat,27,4
red-fox,12,4
skunk,12,2
other-feline,,7
dragon,40,4
german-shep,30,2
deer,45,2
german-shep,26,7
sea-otter,26,3
coyote,16,21
sea-otter,43,1
panther,38,3
dragon,38,4
lemur,20,4
other-reptile,26,4
collie,27,3
mouse,35,1
raccoon,23,11
other-bear,71,1
other,71,1
kitsune,33,2
brown-bear,33,2
other-dog,40,2
domestic-cat,17,66
river-otter,31,2
lizard,30,2
othercanine,27,6
rabbit,,13
cheetah,33,1
other-feline,35,2
raccoon,35,3
badger,35,1
monkey,35,1
german-shep,35,2
river-otter,20,17
red-fox,,22
arctic-fox,20,31
dinosaur,22,5
husky,30,6
squirrel,24,5
monkey,21,2
coyote,18,14
red-panda,26,5
grey-fox,16,24
brown-bear,32,2
grizzly-bear,32,1
hyena,20,14
grizzly-bear,30,2
horse,28,5
rat,18,6
dragon,17,75
panther,,10
leopard,20,19
other-ungulate,35,2
raven,34,2
horse,16,6
kangaroo,40,1
leopard,43,4
raccoon,16,14
pandabear,21,12
mouse,29,2
dragon,43,1
horse,43,1
leopard,39,1
german-shep,22,7
weasel,25,2
skunk,16,11
tiger,15,23
cougar,15,2
raptor,28,3
cheetah,21,13
other-reptile,22,5
cheetah,17,14
coyote,39,2
raven,28,4
bat,28,5
domestic-cat,35,3
husky,37,1
mouse,16,4
kitsune,35,2
leopard,35,1
skunk,35,1
red-panda,35,1
squirrel,22,9
red-fox,34,4
weasel,20,12
deer,22,6
wolf,50,3
grey-fox,29,2
other-mustelid,15,4
mouse,33,1
tiger,36,6
domestic-cat,58,2
raptor,58,1
deer,32,2
mouse,18,12
other-bird,18,7
other-primate,24,2
skunk,20,4
grizzly-bear,20,7
mouse,20,8
panther,18,15
cheetah,18,19
cougar,18,9
weasel,18,9
horse,18,13
squirrel,18,8
raven,18,11
hyena,18,14
bat,18,15
kangaroo,24,3
brown-bear,46,1
river-otter,,7
german-shep,17,15
raven,29,6
lion,50,1
other-feline,50,1
other,50,3
other-bear,36,1
polar-bear,30,2
raptor,29,3
grey-fox,44,1
other-dog,16,28
squirrel,36,1
squirrel,40,1
bat,29,2
cougar,25,5
coyote,,3
other-dog,32,2
other-musteloid,21,2
other-ungulate,21,5
other-bear,21,3
othermarsupial,21,1
other-primate,21,2
othercanine,16,20
other-reptile,16,12
polar-bear,41,1
griffin,40,3
river-otter,16,13
weasel,16,11
bat,32,2
other-ungulate,25,5
other-ungulate,37,1
arctic-fox,34,3
other-ungulate,42,1
cougar,42,3
sea-otter,16,9
weasel,49,1
other-mustelid,49,1
othercanine,38,1
deer,24,5
kitsune,36,1
raven,36,2
other-bird,36,1
griffin,36,1
kangaroo,17,13
other-musteloid,22,3
leopard,37,3
horse,29,5
raven,31,1
other-bird,31,2
bat,20,20
grizzly-bear,26,2
pandabear,26,3
polar-bear,26,3
othercanine,47,1
other-ungulate,47,1
other,47,1
panther,36,3
badger,25,2
other-primate,31,1
other-mustelid,25,5
grizzly-bear,35,1
other-ungulate,17,5
horse,38,3
other-ungulate,15,4
mouse,21,3
pandabear,18,9
polar-bear,18,5
other-bear,18,6
tiger,51,1
red-fox,66,1
horse,66,1
raccoon,17,24
lion,17,22
panther,27,9
othermarsupial,26,2
cougar,21,6
other-reptile,51,1
other,51,2
other-feline,41,1
other,41,5
horse,45,2
grey-fox,32,1
rat,20,8
other-ungulate,28,4
dragon,44,2
other-feline,34,2
other-bear,34,2
coyote,28,5
raccoon,51,1
bat,23,5
other-bird,32,4
lizard,26,4
grey-fox,22,10
coyote,40,1
grey-fox,15,17
raptor,40,1
othercanine,26,7
cougar,19,7
other-dog,36,2
polar-bear,27,1
other-bear,27,3
red-fox,58,1
grey-fox,23,8
collie,19,9
grey-fox,45,1
badger,22,4
raccoon,30,1
othercanine,30,2
horse,19,19
other-feline,28,8
dragon,47,2
horse,17,8
kitsune,14,15
grizzly-bear,16,6
lizard,32,1
other-dog,46,1
other-bird,46,1
other-primate,46,1
pandabear,51,1
other-bear,51,1
other-reptile,25,3
other-bird,30,1
dragon,59,1
wolf,49,2
german-shep,49,1
other-feline,31,3
othercanine,,6
cougar,20,10
othercanine,50,1
skunk,13,2
grizzly-bear,24,2
domestic-cat,32,5
skunk,27,6
grey-fox,41,2
arctic-fox,41,1
other-fox,41,2
coyote,41,2
squirrel,41,1
tiger,37,1
brown-bear,19,9
polar-bear,48,1
collie,17,5
red-panda,24,2
koala,24,1
tiger,16,25
polar-bear,36,1
collie,26,6
panther,26,4
badger,26,3
deer,26,7
other-ungulate,26,7
hyena,26,5
grey-fox,,9
hyena,,7
kitsune,15,15
other-mustelid,22,2
lemur,25,3
kitsune,16,27
tiger,39,2
raccoon,36,3
skunk,18,16
lion,15,9
other-musteloid,24,4
bat,21,13
lizard,28,5
cheetah,16,12
cougar,16,4
panther,11,1
other-feline,11,3
other-reptile,11,1
other,11,4
other-reptile,46,2
hyena,15,6
horse,62,1
bat,26,4
hyena,17,18
river-otter,42,1
red-fox,11,2
arctic-fox,15,31
deer,18,13
other-bird,16,14
othercanine,29,2
panther,15,9
monkey,15,2
bat,15,12
other-reptile,17,9
polar-bear,25,2
othercanine,31,1
brown-bear,,2
sea-otter,20,6
polar-bear,22,4
other-mustelid,30,1
other-bird,41,2
other-fox,16,25
german-shep,16,8
other-musteloid,16,7
husky,41,1
domestic-cat,40,2
raven,26,2
coyote,15,12
german-shep,15,8
river-otter,15,11
sea-otter,15,4
weasel,15,4
squirrel,21,12
grizzly-bear,27,1
raptor,27,4
grey-fox,34,3
other-fox,34,1
lemur,33,1
badger,21,4
husky,11,1
hyena,27,2
red-fox,13,9
lion,13,1
brown-bear,28,2
grizzly-bear,28,1
polar-bear,28,5
other-feline,14,8
othermarsupial,27,3
other-ungulate,33,2
hyena,33,2
german-shep,,3
husky,,4
other-bird,25,5
arctic-fox,46,1
cougar,46,1
mouse,46,1
squirrel,46,1
rabbit,46,2
red-fox,50,1
arctic-fox,38,1
raccoon,,8
cheetah,67,1
rabbit,67,1
kitsune,41,1
husky,35,1
weasel,,4
other-mustelid,,2
skunk,51,1
other-feline,39,2
raptor,16,11
other-bear,26,1
deer,16,12
