species,age,count
hyena,35,1
raccoon,35,1
skunk,34,1
jackal,42,1
husky,42,1
lizard,42,1
kangaroo,42,1
domestic-cat,12,1
panther,36,1
monkey,36,1
polar-bear,36,1
brown-bear,26,1
other-dog,35,1
raven,37,1
german-shep,30,1
panda-bear,17,2
koala,17,1
other-mustelid,36,1
squirrel,27,1
snow-leopard,2012,1
other-feline,2012,1
other,2012,1
raptor,2012,1
polar-bear,28,1
coyote,38,1
other-ungulate,38,1
other-primate,38,1
brown-bear,40,1
weasel,28,1
grizzly-bear,26,1
raptor,27,1
grey-fox,37,1
husky,37,1
hyena,37,1
other-bear,36,1
badger,30,1
mouse,46,1
rat,46,1
rabbit,46,1
hyena,46,1
jackal,13,1
lizard,13,1
jackal,40,1
badger,40,1
skunk,40,1
wolf,54,1
koala,16,1
panther,40,2
grey-fox,41,1
snow-leopard,40,1
cougar,40,1
leopard,13,1
grizzly-bear,,1
badger,28,1
red-fox,12,2
arctic-fox,12,1
tiger,12,1
horse,12,1
kangaroo,12,2
grey-fox,12,1
kitsune,12,1
lizard,12,1
dinosaur,12,1
other-reptile,12,1
sea-otter,12,1
red-panda,12,1
brown-bear,12,1
grizzly-bear,12,1
hyena,12,1
bat,12,1
german-shep,12,1
snow-leopard,12,1
deer,12,1
grizzly-bear,39,1
rabbit,39,1
sea-otter,15,1
othermarsupial,33,1
cheetah,34,1
